,r2,r,MAE,MSE,RMSE,fold,r2_fold,seed,feature,filter,audio_type,trait,model
0,-0.018558500681051582,,0.11698270611648355,0.021872990221436153,0.14789520012980864,0.0,-0.010531809861787922,0,sr,no_music_list_manual_annot,full,openness,random_forest
1,-0.006892621612867078,,0.11292535084058875,0.020424177573925943,0.14291318194598407,1.0,-0.010531809861787922,0,sr,no_music_list_manual_annot,full,openness,random_forest
2,0.018436064084075054,0.13577946856603562,0.1165475712812837,0.021132904332557583,0.14537160772502167,2.0,-0.010531809861787922,0,sr,no_music_list_manual_annot,full,openness,random_forest
3,-0.059488866124520756,,0.11936508901872209,0.022651469795292273,0.15050405242149553,3.0,-0.010531809861787922,0,sr,no_music_list_manual_annot,full,openness,random_forest
4,0.00893444192863213,0.09452217691437355,0.11583189299822576,0.021536480737725173,0.14675312854493144,4.0,-0.010531809861787922,0,sr,no_music_list_manual_annot,full,openness,random_forest
5,0.0826581229833716,0.2875032573439327,0.11224625489871391,0.019699418238895733,0.14035461602275762,0.0,0.10758041570208454,0,frequency,no_music_list_manual_annot,full,openness,random_forest
6,0.11907246860802678,0.34506878822638654,0.10597846913580244,0.017869055691449472,0.13367518726917674,1.0,0.10758041570208454,0,frequency,no_music_list_manual_annot,full,openness,random_forest
7,0.11495445462098541,0.33904933950825716,0.11093863636363636,0.019054879826038155,0.1380394140310591,2.0,0.10758041570208454,0,frequency,no_music_list_manual_annot,full,openness,random_forest
8,0.11814456166698684,0.3437216339816085,0.10853721763774274,0.018853734535485715,0.13730890187997905,3.0,0.10758041570208454,0,frequency,no_music_list_manual_annot,full,openness,random_forest
9,0.09939349611223613,0.3152673407002954,0.11059716544705188,0.019570748337772538,0.13989549076997634,4.0,0.10758041570208454,0,frequency,no_music_list_manual_annot,full,openness,random_forest
10,0.13516081667237045,0.3676422400546086,0.10882215598609037,0.018571951426836663,0.1362789471152337,0.0,0.14499764572641038,0,energy,no_music_list_manual_annot,full,openness,random_forest
11,0.13105947139786456,0.3620213687033744,0.10570773662551439,0.01762590695016003,0.13276259620149053,1.0,0.14499764572641038,0,energy,no_music_list_manual_annot,full,openness,random_forest
12,0.15506415006131147,0.39378185593207754,0.10803585858585857,0.018191324915824914,0.13487521979898648,2.0,0.14499764572641038,0,energy,no_music_list_manual_annot,full,openness,random_forest
13,0.1630670450717946,0.40381560776150616,0.10698366258231225,0.017893308892037822,0.13376587342083116,3.0,0.14499764572641038,0,energy,no_music_list_manual_annot,full,openness,random_forest
14,0.13599512834714755,0.3687751731707919,0.10912810160652703,0.018775371744189306,0.1370232525675453,4.0,0.14499764572641038,0,energy,no_music_list_manual_annot,full,openness,random_forest
15,0.17198876256041373,0.414715278908812,0.10737547607219736,0.0177810913046678,0.1333457584802299,0.0,0.1458807676863214,0,spectral,no_music_list_manual_annot,full,openness,random_forest
16,0.13953714175774867,0.3735467062600722,0.10543572016460905,0.01745394278920896,0.1321133709705757,1.0,0.1458807676863214,0,spectral,no_music_list_manual_annot,full,openness,random_forest
17,0.12531048026633862,0.3539922036801639,0.10971203703703702,0.01883191635802469,0.13722942963528156,2.0,0.1458807676863214,0,spectral,no_music_list_manual_annot,full,openness,random_forest
18,0.15141443006042465,0.38912007152089273,0.1082968242060515,0.018142437377862978,0.13469386540545555,3.0,0.1458807676863214,0,spectral,no_music_list_manual_annot,full,openness,random_forest
19,0.13632817033143296,0.3692264485805871,0.10869248885524434,0.01876813453145297,0.1369968413192544,4.0,0.1458807676863214,0,spectral,no_music_list_manual_annot,full,openness,random_forest
20,0.1450759599275392,0.38088838250534657,0.10780998509687033,0.018359029114255274,0.13549549481165518,0.0,0.1189640080854365,0,spectral_voiced,no_music_list_manual_annot,full,openness,random_forest
21,0.1300982208290069,0.3606913096111506,0.10569530132601737,0.017645405307671023,0.13283600907762558,1.0,0.1189640080854365,0,spectral_voiced,no_music_list_manual_annot,full,openness,random_forest
22,0.06526911373090771,0.2554782059802904,0.11369567340067341,0.02012459675158997,0.1418611883200968,2.0,0.1189640080854365,0,spectral_voiced,no_music_list_manual_annot,full,openness,random_forest
23,0.12370656954953618,0.3517194472154421,0.10885696424106023,0.018734820918192507,0.13687520198411585,3.0,0.1189640080854365,0,spectral_voiced,no_music_list_manual_annot,full,openness,random_forest
24,0.12617933838546425,0.35521731149461766,0.1095293969215241,0.018988675061728393,0.13779940152891954,4.0,0.1189640080854365,0,spectral_voiced,no_music_list_manual_annot,full,openness,random_forest
25,0.026174309037404586,0.16178476144991094,0.11725178009604237,0.02091237744475722,0.14461112489970201,0.0,0.009408974147630311,0,unvoiced,no_music_list_manual_annot,full,openness,random_forest
26,0.011793865493587408,0.10859956488673152,0.11215753086419752,0.020045134046639233,0.14158083926379034,1.0,0.009408974147630311,0,unvoiced,no_music_list_manual_annot,full,openness,random_forest
27,-0.03630492704700239,,0.11912904040404042,0.022311468546576882,0.14937023982901307,2.0,0.009408974147630311,0,unvoiced,no_music_list_manual_annot,full,openness,random_forest
28,0.02009215574648837,0.14174680153882968,0.11708593815120444,0.02095005775517953,0.1447413477731209,3.0,0.009408974147630311,0,unvoiced,no_music_list_manual_annot,full,openness,random_forest
29,0.020007843267876524,0.14144908365866682,0.11615594246782737,0.02129584873038569,0.1459309724848899,4.0,0.009408974147630311,0,unvoiced,no_music_list_manual_annot,full,openness,random_forest
30,0.0797853257573341,0.2824629635143944,0.11363164431197215,0.01976110999797611,0.14057421526715386,0.0,0.05641603882251711,0,temporal,no_music_list_manual_annot,full,openness,random_forest
