,r2_boot_values,openness,conscientiousness,extraversion,agreeableness,neuroticism,n_boot,feature,seed,fold,filter,audio_type,trait,model
0,0.18813833679360156,0.20520534054975392,0.1847771382433896,0.2047416223005063,0.12214058834179986,0.22382699453255817,0,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
1,0.1959069516411786,0.21525823289141788,0.1916929281722175,0.2103820441934927,0.12573073502779708,0.2364708179209679,1,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
2,0.1992946368690524,0.21276677715105152,0.19919808317799592,0.21007201507666118,0.1321493450431015,0.242286963896452,2,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
3,0.1885622582335545,0.1977412831985529,0.1899036758791156,0.20911256128721767,0.11948027359365232,0.22657349720923403,3,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
4,0.19529516149461518,0.22056360169320166,0.19195950091282366,0.20879854719569213,0.12473746475858849,0.2304166929127699,4,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
5,0.20147101292690378,0.22099972330914686,0.18406556614460312,0.21840202126665131,0.13321014706698198,0.2506776068471356,5,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
6,0.20187617316971168,0.22004053907001475,0.19382710312342455,0.21955004382405574,0.12826419119641297,0.24769898863465045,6,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
7,0.17483714855840987,0.1783520618815696,0.17376046168910553,0.186991927400882,0.11951162234065194,0.21556966947984035,7,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
8,0.2006509347593699,0.2120730136631488,0.1916164985204194,0.2180642306425341,0.13092387471481837,0.25057705625592885,8,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
9,0.192983340125731,0.208403904228453,0.19161869311119795,0.20906271328061732,0.12233018917655902,0.2335012008318278,9,egemaps+sr,0,4,no_music_list_manual_annot,full,All,random_forest
10,0.19822183237563434,0.21300752895354436,0.1941820634360888,0.2159744097062778,0.1340937724213288,0.23385138736093192,0,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
11,0.19727909219277331,0.20869362962579296,0.19625161313223838,0.20656444943690888,0.13064580648925073,0.2442399622796756,1,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
12,0.1884045848236558,0.20025506662018988,0.18863492515340274,0.19346786424562934,0.13120783686131343,0.22845723123774353,2,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
13,0.19093197802971845,0.2099422108983644,0.18986585081915486,0.19490887303930327,0.12493748130873461,0.23500547408303518,3,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
14,0.18631754151550572,0.19250157281744384,0.18254852067194427,0.19816494599601198,0.1296138662210483,0.22875880187108022,4,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
15,0.20756407950935207,0.21905746665468107,0.20813177945736394,0.213486774637779,0.15027390039072663,0.24687047640620963,5,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
16,0.19339023546073847,0.21145842359940026,0.18594580833456442,0.2062929005853088,0.131285299901437,0.2319687448829818,6,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
17,0.20409033753288258,0.21913377299357584,0.1980767906265759,0.2114545596894314,0.14476829813268088,0.24701826622214884,7,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
18,0.19031840551827944,0.20707278801675055,0.18427193108795237,0.20478528444658128,0.13112037426065992,0.22434164977945303,8,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
19,0.1922124117496113,0.2026859041640705,0.19000971484813556,0.19578847560129597,0.13166249811520314,0.24091546601935132,9,egemaps+sr,1,4,no_music_list_manual_annot,full,All,random_forest
20,0.18554633902202303,0.19802164448109072,0.19813684131269893,0.1904241377919067,0.12282161936686875,0.21832745215755,0,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
21,0.19612405437146122,0.2161708273938775,0.19029740740585854,0.21171964132339371,0.124383674514844,0.2380487212193323,1,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
22,0.19275407327727706,0.21036647948711096,0.18361275068081584,0.20663530893177873,0.12907429423768058,0.23408153304899926,2,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
23,0.20007777460466053,0.21235678127549462,0.20339952603076628,0.21039394434787972,0.1298890651473893,0.24434955622177268,3,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
24,0.19439142334986048,0.20585473920113773,0.18616991434138885,0.21259054246603937,0.13083649178142043,0.23650542895931603,4,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
25,0.19559174140127084,0.21835724721842908,0.19645257702281071,0.20284081698634515,0.12517136520239658,0.2351367005763726,5,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
26,0.19178284213315383,0.2184492127885117,0.18988905489601016,0.20655597799312475,0.11952416315178649,0.224495801836336,6,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
27,0.19594704685854772,0.20918820766934587,0.19973401988234385,0.2085370957722078,0.12654576710401166,0.23573014386482938,7,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
28,0.18700645659125287,0.20234460450240255,0.18184163241221774,0.20161856387138044,0.12522134547126185,0.2240061366990017,8,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
29,0.2057820271928895,0.21911167184529767,0.20553333586358702,0.2146273676241136,0.14331477352939692,0.24632298710205225,9,egemaps+sr,2,4,no_music_list_manual_annot,full,All,random_forest
30,0.19019963842405296,0.20537018751022862,0.19262066089477148,0.19899375400685837,0.11960540350003279,0.23440818620837356,0,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
31,0.20612176515164887,0.2262505563438213,0.19402338344993608,0.22369281991782597,0.13949566694055393,0.24714639910610714,1,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
32,0.1869996425140456,0.19333523925402663,0.18863428414366878,0.19905815254506398,0.12415363168030624,0.22981690494716245,2,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
33,0.20005839220872143,0.20892214740643522,0.20580700659069784,0.20785115773891305,0.13098705004640776,0.2467245992611533,3,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
34,0.18877091253313588,0.2019586598162486,0.18504660303098464,0.20665728861071708,0.11989058183009238,0.23030142937763676,4,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
35,0.2065949958966565,0.2161564888282157,0.2075614038118475,0.22770944233245538,0.1410139883788284,0.24053365613193556,5,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
36,0.18966865633303173,0.2059791027286012,0.18702038447892688,0.20558475088591754,0.12201102092131122,0.22774802265040184,6,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
37,0.20405341275469321,0.22773658072821168,0.19555361075179656,0.21904338642829346,0.1371932305615109,0.2407402553036535,7,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
38,0.18543405808689556,0.20460668487631328,0.17879115763792375,0.1992967255761635,0.12259951587022311,0.2218762064738542,8,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
39,0.18959344574164108,0.2018011043776441,0.18795356729064472,0.2015334872036718,0.12502076603957768,0.23165830379666708,9,egemaps+sr,3,4,no_music_list_manual_annot,full,All,random_forest
40,0.18169820547850993,0.1958338853471746,0.17931181099663396,0.19778689293413465,0.11313929528489386,0.22241914282971254,0,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
41,0.1962640723774085,0.2209107381875599,0.1833386440703063,0.21434174490077862,0.13029698508062526,0.23243224964777243,1,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
42,0.190617830956589,0.21545556414114964,0.18517534304077554,0.20828110641760067,0.11954910238122207,0.22462803880219706,2,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
43,0.1934888116032247,0.22049153729628512,0.17665683164652335,0.21343180733408362,0.12300794431046691,0.23385593742876454,3,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
44,0.2006786876503412,0.2229416115956918,0.19589786010196442,0.21423519121437473,0.1262644788589482,0.24405429648072696,4,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
45,0.20089829743422866,0.21394909372287352,0.18511045579936836,0.22753292482666188,0.13643475367963753,0.24146425914260183,5,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
46,0.19700415084727596,0.21435906290061024,0.1930957584352163,0.20950049224498046,0.13030277467608276,0.23776266597949003,6,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
47,0.1890604664108849,0.20548405066554187,0.1900648642692454,0.20714665978285873,0.1172815684029237,0.22532518893385478,7,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
48,0.19544058282032814,0.19768564102703345,0.20151412340464325,0.2119234355649513,0.1327934490233742,0.23328626508163852,8,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
49,0.2000562900060837,0.22085065202681464,0.19436248268976564,0.21483897800896357,0.13225126975755008,0.23797806754732453,9,egemaps+sr,4,4,no_music_list_manual_annot,full,All,random_forest
50,0.19576470552172937,0.20255797973192002,0.19236179133383757,0.21429294441069902,0.13433123320540796,0.2352795789267823,0,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
51,0.1925024132939047,0.2031264732627962,0.19363769311868462,0.20180012969321903,0.13023190006502972,0.2337158703297939,1,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
52,0.20559299707272244,0.20926335029395837,0.21758827065440245,0.20925596359258647,0.1455400922414254,0.24631730858123946,2,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
53,0.18395260862329044,0.19965184472994035,0.16930923101843254,0.20152671438654235,0.12962770436575555,0.2196475486157814,3,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
54,0.20502463489782902,0.2203729577525202,0.19809733585989864,0.2180120301004912,0.13810725326613493,0.2505335975101003,4,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
55,0.20197649458369896,0.22206231261001297,0.2044248263857733,0.20907110491003145,0.13111401923197163,0.2432102097807054,5,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
56,0.19244816730337275,0.20306162030626984,0.19532593063311698,0.20366645310432552,0.13077210001025885,0.22941473246289257,6,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
57,0.1852484037348456,0.1965790471813854,0.18851420992244705,0.20283662171558947,0.11871118133716407,0.21960095851764205,7,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
58,0.19729317065075488,0.20791766477984663,0.1931816328505278,0.20206857565195224,0.14193047948746174,0.24136750048398603,8,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
59,0.19518762136395323,0.21015237764605232,0.19385169751456155,0.211216451048587,0.1280183296167674,0.23269925099379796,9,egemaps+sr,5,4,no_music_list_manual_annot,full,All,random_forest
60,0.20382977882701594,0.22030823507835462,0.20822401358855447,0.21837425790768272,0.13380880947514262,0.23843357808534538,0,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
61,0.1987035834929302,0.21354546188551804,0.1942613474738526,0.20861836186816574,0.13787546991065291,0.23921727632646173,1,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
62,0.19241319508935043,0.21202441849217124,0.18417212749257028,0.21284860746150747,0.1247580953552958,0.2282627266452073,2,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
63,0.21837930741415548,0.23320229979370288,0.2116940451518573,0.2381855774494659,0.144207047304304,0.2646075673714472,3,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
64,0.19041990637501607,0.2023983953670342,0.19139422280556662,0.2059793812207219,0.12803095967825662,0.22429657280350102,4,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
65,0.20511476334935325,0.2239874953105372,0.20481479194114105,0.21402409940815437,0.13329130630066865,0.24945612378626503,5,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
66,0.20061924304218018,0.22023670296963804,0.1930091801165792,0.21741215861243923,0.13170818568960607,0.24072998782263844,6,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
67,0.20010076613641736,0.21912618607878565,0.19470332946484903,0.2082755283807357,0.13255018610619618,0.24584860065152037,7,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
68,0.20786099494292953,0.22165653823185671,0.206965432646108,0.2203028952907795,0.1412064812410614,0.24917362730484194,8,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
69,0.20821139659914834,0.22095497202537007,0.20790861809706085,0.23075018085091348,0.1325952516332244,0.2488479603891729,9,egemaps+sr,6,4,no_music_list_manual_annot,full,All,random_forest
70,0.19361335008556974,0.21022730102894804,0.20114012063118702,0.20229117819842335,0.12258708030804388,0.23182107026124643,0,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
71,0.19659928347639208,0.2183359257224704,0.18485993411130897,0.22076305607185054,0.12434686724782495,0.23469063422850556,1,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
72,0.19258116299722036,0.2128100547949504,0.18664974584627025,0.20671441702906823,0.12365439436392966,0.23307720295188328,2,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
73,0.2125541458808664,0.22728215170613297,0.21170768999439138,0.22389392602416325,0.14349471117009116,0.2563922505095533,3,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
74,0.20119181911194195,0.21185484923322362,0.2043173871038586,0.22399830935486453,0.12864612534243614,0.23714242452532697,4,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
75,0.18220252586576216,0.20135851065456245,0.17879900623988587,0.19674977519701642,0.12014032202903369,0.21396501520831235,5,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
76,0.19435541386134805,0.21066713108647928,0.19079302976013002,0.20892540005076288,0.13156230360571453,0.22982920480365354,6,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
77,0.20227593736072919,0.21107032586143892,0.20682805469607424,0.211651467853038,0.1321635541167362,0.24966628427635862,7,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
78,0.20448725565559833,0.22643907167424426,0.19965529858646447,0.22734291148002206,0.12941066348355035,0.2395883330537104,8,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
79,0.19944111009658752,0.2162657644568592,0.19292568415603517,0.21384727692390626,0.12673408149191556,0.2474327434542214,9,egemaps+sr,7,4,no_music_list_manual_annot,full,All,random_forest
80,0.19162232708269525,0.20385941141577668,0.19515049600442258,0.19972940202615075,0.12809552816299097,0.23127679780413524,0,egemaps+sr,8,4,no_music_list_manual_annot,full,All,random_forest
81,0.19033269916489648,0.20000292654465168,0.19692540455746466,0.1980390817668708,0.12292933100146419,0.23376675195403107,1,egemaps+sr,8,4,no_music_list_manual_annot,full,All,random_forest
82,0.1932244649514164,0.2099182280456079,0.20246067758037323,0.19609034352414922,0.1251493481701056,0.2325037274368461,2,egemaps+sr,8,4,no_music_list_manual_annot,full,All,random_forest
83,0.19387869653898693,0.2038224730736805,0.20159218959255165,0.19414984493053955,0.13310411366061026,0.23672486143755267,3,egemaps+sr,8,4,no_music_list_manual_annot,full,All,random_forest
84,0.1809284772827447,0.20053986306663307,0.1713172881784415,0.1984088886803872,0.1134680485972811,0.22090829789098054,4,egemaps+sr,8,4,no_music_list_manual_annot,full,All,random_forest
