,r2,r,MAE,MSE,RMSE,fold,r2_fold,seed,feature,filter,audio_type,trait,model
0,-0.05287298652797179,,0.1259888592658116,0.024961699433942088,0.1579927195599281,0.0,-0.022373430628675584,0,sr,no_music_list_manual_annot,full,extraversion,random_forest
1,-0.014042387410615031,,0.12173984827738432,0.023209827544099396,0.15234771919559345,1.0,-0.022373430628675584,0,sr,no_music_list_manual_annot,full,extraversion,random_forest
2,0.020129094662096447,0.14187704064469503,0.11855476474514141,0.021721134913439147,0.1473809177384886,2.0,-0.022373430628675584,0,sr,no_music_list_manual_annot,full,extraversion,random_forest
3,-0.06404794241759748,,0.12453720775754808,0.024063769937091722,0.15512501389876399,3.0,-0.022373430628675584,0,sr,no_music_list_manual_annot,full,extraversion,random_forest
4,-0.003091203689881361,,0.12120012123403506,0.023237582523929566,0.1524387828734196,4.0,-0.022373430628675584,0,sr,no_music_list_manual_annot,full,extraversion,random_forest
5,0.12086475130433605,0.3476560819320382,0.11416674199859075,0.020842694342545074,0.14436999114270624,0.0,0.1300280889158174,0,frequency,no_music_list_manual_annot,full,extraversion,random_forest
6,0.15587332817575883,0.39480796366810894,0.11164852782345448,0.01932072536774722,0.1389990121106881,1.0,0.1300280889158174,0,frequency,no_music_list_manual_annot,full,extraversion,random_forest
7,0.12636036737274825,0.35547203458605325,0.11254427384098692,0.019366269804163658,0.1391627457481479,2.0,0.1300280889158174,0,frequency,no_music_list_manual_annot,full,extraversion,random_forest
8,0.14463165306140746,0.38030468451152094,0.11313518607852285,0.019344417005716614,0.13908420832616697,3.0,0.1300280889158174,0,frequency,no_music_list_manual_annot,full,extraversion,random_forest
9,0.09879701817389708,0.3143199296479577,0.11546867650732162,0.020877242850860338,0.14448959426498623,4.0,0.1300280889158174,0,frequency,no_music_list_manual_annot,full,extraversion,random_forest
10,0.1262593507413302,0.35532991816244547,0.11472866599910995,0.020714798222656178,0.14392636389020663,0.0,0.13108157871524162,0,energy,no_music_list_manual_annot,full,extraversion,random_forest
11,0.14384418832403711,0.3792679637459999,0.1118174690728445,0.019596053366782096,0.139985904171749,1.0,0.13108157871524162,0,energy,no_music_list_manual_annot,full,extraversion,random_forest
12,0.14922850885389172,0.38630105986638413,0.11084374313590731,0.018859343857464343,0.137329326283443,2.0,0.13108157871524162,0,energy,no_music_list_manual_annot,full,extraversion,random_forest
13,0.14438097593449883,0.3799749675103596,0.11353262621025938,0.019350086145677275,0.13910458707633358,3.0,0.13108157871524162,0,energy,no_music_list_manual_annot,full,extraversion,random_forest
14,0.08896667895610955,0.2982728263789874,0.11638617501095765,0.02110497221183097,0.1452755045141161,4.0,0.13108157871524162,0,energy,no_music_list_manual_annot,full,extraversion,random_forest
15,0.17010636216419872,0.41243952546306556,0.11210419448153094,0.019675265501977728,0.14026854780020262,0.0,0.1395982758879626,0,spectral,no_music_list_manual_annot,full,extraversion,random_forest
16,0.1502193692424023,0.3875814356266336,0.11203463563890685,0.01945013555159537,0.1394637427849811,1.0,0.1395982758879626,0,spectral,no_music_list_manual_annot,full,extraversion,random_forest
17,0.12225040494563089,0.34964325382542544,0.11252237251386993,0.019457376752928298,0.1394897012432398,2.0,0.1395982758879626,0,spectral,no_music_list_manual_annot,full,extraversion,random_forest
18,0.15794830480876743,0.3974271062833629,0.11272457229329262,0.019043256850044724,0.13799730740142985,3.0,0.1395982758879626,0,spectral,no_music_list_manual_annot,full,extraversion,random_forest
19,0.09183041917244739,0.3030353431077758,0.1169421861523888,0.021038630886775527,0.14504699544208258,4.0,0.1395982758879626,0,spectral,no_music_list_manual_annot,full,extraversion,random_forest
20,0.1597995650402375,0.39974937778592917,0.11311153876464919,0.019919620875538356,0.14113688701235533,0.0,0.10819190234621512,0,spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
21,0.11485482302789407,0.338902379790839,0.11378033567151652,0.020259574120440618,0.14233613076250393,1.0,0.10819190234621512,0,spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
22,0.07350020555979198,0.2711092133436117,0.11622006192740185,0.02053803916687323,0.14331098759995073,2.0,0.10819190234621512,0,spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
23,0.11189314769359682,0.3345043313525205,0.11436172234310082,0.020084808326304358,0.1417208817581388,3.0,0.10819190234621512,0,spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
24,0.07330545600263971,0.2707498033289031,0.11791767641777542,0.021467779660912567,0.14651887134738845,4.0,0.10819190234621512,0,spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
25,0.03399913922312692,0.18438855502206994,0.1220265910102359,0.02290211967462329,0.15133446294424574,0.0,-0.005261531123540886,0,unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
26,-0.019104013072692938,,0.12163478550465211,0.0233256801555564,0.15272747020610405,1.0,-0.005261531123540886,0,unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
27,0.0068704298574422396,0.08288805618086505,0.12003393961724051,0.022015044290097954,0.14837467536644505,2.0,-0.005261531123540886,0,unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
28,-0.002641008836960834,,0.12219086718323086,0.02267503333668131,0.15058231415634873,3.0,-0.005261531123540886,0,unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
29,-0.0508014646074455,,0.1240210951970252,0.024342837082270675,0.15602191218630374,4.0,-0.005261531123540886,0,unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
30,0.03847131748543953,0.1961410652704821,0.12079689586114824,0.0227960924794846,0.15098374905758766,0.0,0.034895949928104075,0,temporal,no_music_list_manual_annot,full,extraversion,random_forest
31,0.018381638228814556,0.13557890038208215,0.1210241519749669,0.02246769284369669,0.149892270793716,1.0,0.034895949928104075,0,temporal,no_music_list_manual_annot,full,extraversion,random_forest
32,0.056955495805691814,0.238653505747751,0.1175118505239739,0.020904791430579415,0.14458489350751486,2.0,0.034895949928104075,0,temporal,no_music_list_manual_annot,full,extraversion,random_forest
33,0.03021670353729955,0.17382952435446503,0.12034531799520803,0.02193194611315184,0.14809438244967915,3.0,0.034895949928104075,0,temporal,no_music_list_manual_annot,full,extraversion,random_forest
34,0.027065179610063606,0.16451498293487923,0.12110078187962169,0.022538980599221263,0.15012987910213363,4.0,0.034895949928104075,0,temporal,no_music_list_manual_annot,full,extraversion,random_forest
35,0.1743316114449639,0.41753037188324865,0.11157140075656434,0.019575092542912887,0.13991101651733107,0.0,0.17971521876833518,0,sr+frequency,no_music_list_manual_annot,full,extraversion,random_forest
36,0.20431152243030104,0.45200832119586143,0.10780710335879666,0.018212051658291845,0.1349520346578437,1.0,0.17971521876833518,0,sr+frequency,no_music_list_manual_annot,full,extraversion,random_forest
37,0.20521691089553684,0.45300873158862714,0.10698716813218741,0.01761822971915337,0.13273367967156405,2.0,0.17971521876833518,0,sr+frequency,no_music_list_manual_annot,full,extraversion,random_forest
38,0.16821159273275488,0.410136066120446,0.11024660566912807,0.018811149451913933,0.13715374384942589,3.0,0.17971521876833518,0,sr+frequency,no_music_list_manual_annot,full,extraversion,random_forest
39,0.14389877978812893,0.3793399264355506,0.11234698205777147,0.019832416713785238,0.14082761346335895,4.0,0.17971521876833518,0,sr+frequency,no_music_list_manual_annot,full,extraversion,random_forest
40,0.15770768431975368,0.3971242681072937,0.1123105112372052,0.019969215554540017,0.1413124748723198,0.0,0.154387202116688,0,sr+energy,no_music_list_manual_annot,full,extraversion,random_forest
41,0.15591231370284808,0.39485733335326073,0.11139874695585208,0.019319833050649146,0.1389958022770801,1.0,0.154387202116688,0,sr+energy,no_music_list_manual_annot,full,extraversion,random_forest
42,0.17718225615961036,0.4209302271868942,0.10904189665067705,0.018239683539706144,0.13505437253086677,2.0,0.154387202116688,0,sr+energy,no_music_list_manual_annot,full,extraversion,random_forest
43,0.14686317496893242,0.3832273150089023,0.1123526320951674,0.01929395045467921,0.13890266539803767,3.0,0.154387202116688,0,sr+energy,no_music_list_manual_annot,full,extraversion,random_forest
44,0.13129192755456365,0.3623422795570007,0.11365687785428481,0.020124466696944125,0.14186072993236756,4.0,0.154387202116688,0,sr+energy,no_music_list_manual_annot,full,extraversion,random_forest
45,0.1789426817428046,0.4230161719636787,0.11133914663996441,0.019465772470771005,0.1395197923979641,0.0,0.16647659584080254,0,sr+spectral,no_music_list_manual_annot,full,extraversion,random_forest
46,0.17243565835060715,0.4152537276781596,0.10985963962838849,0.018941639806966806,0.13762863004101583,1.0,0.16647659584080254,0,sr+spectral,no_music_list_manual_annot,full,extraversion,random_forest
47,0.17663217997207925,0.42027631383659875,0.10928854343066473,0.018251877267489003,0.13509950876109433,2.0,0.16647659584080254,0,sr+spectral,no_music_list_manual_annot,full,extraversion,random_forest
48,0.16969689742048732,0.41194283270920895,0.11073014894421951,0.01877755883172922,0.13703123305191856,3.0,0.16647659584080254,0,sr+spectral,no_music_list_manual_annot,full,extraversion,random_forest
49,0.13093892932748685,0.3618548456598127,0.11356660115655974,0.02013264424391326,0.14188954945278126,4.0,0.16647659584080254,0,sr+spectral,no_music_list_manual_annot,full,extraversion,random_forest
50,0.1984299020749164,0.4454547138317389,0.11018698542501117,0.019003765996146484,0.13785414754785758,0.0,0.17213682365535132,0,sr+spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
51,0.1711175191299782,0.413663533720315,0.10850148131188037,0.018971809930395305,0.1377381934337579,1.0,0.17213682365535132,0,sr+spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
52,0.1531643928573153,0.3913622271723669,0.11050505551501072,0.01877209576490818,0.13701129794622113,2.0,0.17213682365535132,0,sr+spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
53,0.16696929447019393,0.40861876421695803,0.11049846572041085,0.018839244407405878,0.13725612703047496,3.0,0.17213682365535132,0,sr+spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
54,0.16533522933871825,0.40661434964683457,0.11136977391943675,0.019335820528294335,0.13905330103343227,4.0,0.17213682365535132,0,sr+spectral_voiced,no_music_list_manual_annot,full,extraversion,random_forest
55,0.10027207662019844,0.31665766471095946,0.11575294837561197,0.021330909124939186,0.1460510497221406,0.0,0.07510459662774505,0,sr+unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
56,0.07980513567057579,0.2824980277286477,0.11611264908519452,0.02106180606768224,0.1451268619783472,1.0,0.07510459662774505,0,sr+unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
57,0.10037474883564323,0.3168197418653756,0.11464575967349949,0.019942301935517718,0.1412172154360711,2.0,0.07510459662774505,0,sr+unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
58,0.04284702669321394,0.2069952335036098,0.11902387591251107,0.021646307488669858,0.14712684149627442,3.0,0.07510459662774505,0,sr+unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
59,0.04773198476917384,0.21847650850646128,0.11814646457505622,0.02206021397398898,0.1485268123066976,4.0,0.07510459662774505,0,sr+unvoiced,no_music_list_manual_annot,full,extraversion,random_forest
60,0.07428182175740172,0.27254691661694086,0.11949043168669342,0.021947090695174056,0.1481455051467106,0.0,0.07293371342384058,0,sr+temporal,no_music_list_manual_annot,full,extraversion,random_forest
61,0.07027816256792052,0.26510028775525785,0.11708580507739598,0.021279863424529557,0.1458761921100546,1.0,0.07293371342384058,0,sr+temporal,no_music_list_manual_annot,full,extraversion,random_forest
62,0.0721147801058255,0.268541952226883,0.11593865361042424,0.02056875036876134,0.14341809637825118,2.0,0.07293371342384058,0,sr+temporal,no_music_list_manual_annot,full,extraversion,random_forest
63,0.05721973728098717,0.23920647416194063,0.11862979725090729,0.021321264239048274,0.14601802710298573,3.0,0.07293371342384058,0,sr+temporal,no_music_list_manual_annot,full,extraversion,random_forest
