,r2_boot_values,openness,conscientiousness,extraversion,agreeableness,neuroticism,n_boot,feature,seed,fold,filter,audio_type,trait,model
0,0.18796426010295486,0.21092779181894683,0.1788388554392979,0.21170186052625795,0.116212023458235,0.22214076927203663,0,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
1,0.18444230943330583,0.20109241390345545,0.18713389465497465,0.19815743084737736,0.11518944430657474,0.220638363454147,1,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
2,0.1891758430999129,0.2099606863780421,0.18050136929824656,0.21422102725855807,0.10869823289843883,0.23249789966627887,2,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
3,0.202398523493338,0.21777614400367706,0.193434217708792,0.2270194731788323,0.13355408777410938,0.24020869480127938,3,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
4,0.18625129622210662,0.20301102011050765,0.1783819076122959,0.2042082188021347,0.11796826883279743,0.2276870657527974,4,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
5,0.17447661156542804,0.18808317107192662,0.1747151584388723,0.19554500101895678,0.10540167681117296,0.20863805048621153,5,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
6,0.1881613440402306,0.2087283088099493,0.17107286510078634,0.21013781404588172,0.12176378888909589,0.2291039433554397,6,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
7,0.18586310912777532,0.20349365762754124,0.1831239348084478,0.2018849371611089,0.10735935781591321,0.2334536582258655,7,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
8,0.1890090641425957,0.20992778306940718,0.17924053752929703,0.21068706264273307,0.11209580006455522,0.23309413740698592,8,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
9,0.18957949451128567,0.20809447132006176,0.18099062734504456,0.21278466745797564,0.12135258668805593,0.22467511974529042,9,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
10,0.1738531145195296,0.19169682002011101,0.1728730178650787,0.19222440297889531,0.10761204699856208,0.2048592847350008,10,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
11,0.18730155566312762,0.20565302100506044,0.17762476478988387,0.2100569459185826,0.11494432450722414,0.22822872209488698,11,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
12,0.17923939492612792,0.189959863811049,0.1783588797124488,0.20267948986288897,0.11310315585292663,0.21209558539132622,12,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
13,0.185822726860057,0.19913358848019702,0.1773356511577655,0.2145589771517994,0.11720779968067341,0.2208776178298496,13,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
14,0.19294965178534734,0.21306580770971606,0.1806093934037184,0.21762665414496096,0.12541605302747838,0.22803035064086286,14,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
15,0.19758628418173352,0.2176349420401653,0.19796025182037347,0.2117169158463893,0.11968581408923129,0.24093349711250822,15,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
16,0.19289925445392475,0.2057133437660783,0.1816583048430963,0.2194261045508239,0.1263151151424997,0.23138340396712553,16,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
17,0.18742069998784472,0.2125273170242974,0.1726743183749363,0.2107299755553632,0.11641076168108022,0.22476112730354647,17,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
18,0.17810454009816923,0.18467310480165955,0.1860487896397296,0.19603075662173186,0.10905326526055426,0.21471678416717088,18,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
19,0.18211973673099188,0.20579152567946357,0.16781795952924294,0.20138031028712522,0.11233882666685269,0.22327006149227502,19,egemaps,0,4,no_music_list_manual_annot,full,All,random_forest
