,r2_boot_values,n_boot,seed,fold,filter,feature,trait
0,0.10185983260574782,0,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
1,0.12084322158758887,1,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
2,0.09199649121640954,2,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
3,0.0929980533226679,3,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
4,0.11991694684066415,4,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
5,0.10500863326944705,5,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
6,0.0831370739455437,6,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
7,0.101480894833389,7,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
8,0.11056287541112655,8,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
9,0.10102633937298941,9,0,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
10,0.07391841783400872,0,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
11,0.0814689481462501,1,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
12,0.11645172509766817,2,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
13,0.10543824443895351,3,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
14,0.07665971937718337,4,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
15,0.08663388810688055,5,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
16,0.07963249941413779,6,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
17,0.08844230335600807,7,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
18,0.08773456856560971,8,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
19,0.08608535421432122,9,0,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
20,0.10130703521952415,0,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
21,0.08652572270114292,1,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
22,0.0827293142026119,2,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
23,0.092856355406939,3,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
24,0.09610653575634338,4,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
25,0.08311827566244989,5,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
26,0.09173645857874066,6,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
27,0.10481289859525471,7,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
28,0.09724657460456831,8,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
29,0.08510109050311351,9,0,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
30,0.08294358126630177,0,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
31,0.08384227204962373,1,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
32,0.07819393998168327,2,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
33,0.10524289273726939,3,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
34,0.09561285871532099,4,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
35,0.08184531879555704,5,0,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
