,r2,r,MAE,MSE,RMSE,fold,r2_fold,seed,filter,feature,trait
0,0.10005719712908408,0.3163181896905141,0.11228081016499422,0.01985335350556092,0.140901928679351,0.0,0.09081258643330228,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
1,0.07853293702454267,0.28023728699896927,0.11102128246704568,0.019465632779757623,0.13951929178345776,1.0,0.09081258643330228,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
2,0.09050289656239759,0.3008369933409081,0.11364398866324632,0.01982008872465768,0.14078383687290838,2.0,0.09081258643330228,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
3,0.08256142284520618,0.28733503588181897,0.1157389774879795,0.02102676869350704,0.14500609881486723,3.0,0.09081258643330228,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
4,0.09856922203209825,0.31395735702814526,0.11547878051088145,0.02073904157868373,0.14401056064984863,4.0,0.09081258643330228,0,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
5,0.09769295024624351,0.31255871487809056,0.11162298952211916,0.01953665748532967,0.13977359366250003,0.0,0.09217168272929648,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
6,0.09393196620951597,0.30648322337367173,0.1102994967336215,0.019088134002000358,0.1381598132671015,1.0,0.09217168272929648,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
7,0.09030053154975204,0.30050046846844025,0.11359507173996782,0.02001966046939345,0.14149084941929443,2.0,0.09217168272929648,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
8,0.0748720140640247,0.27362750969890565,0.11607109436844001,0.021139036208155444,0.14539269654338022,3.0,0.09217168272929648,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
9,0.09813493346436031,0.3132649572875337,0.11629102524622636,0.02096522980784183,0.1447937492015516,4.0,0.09217168272929648,1,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
10,0.09425282875601693,0.3070062356956564,0.11167734337652661,0.01971973201227866,0.1404269632665987,0.0,0.09092116755854403,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
11,0.08752325896843813,0.2958433013749646,0.11305443834779624,0.020092716675793515,0.1417487801562804,1.0,0.09092116755854403,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
12,0.08188597506172275,0.2861572558257483,0.11467978263780632,0.020488297400268612,0.14313733754778524,2.0,0.09092116755854403,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
13,0.09219441354079591,0.3036353298626428,0.1143515645667255,0.020536913417874614,0.14330705990241588,3.0,0.09092116755854403,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
14,0.09587959680116369,0.30964430690901407,0.11336438531440154,0.0200453431591903,0.1415815777535704,4.0,0.09092116755854403,2,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
15,0.10250302957372184,0.32016094323593225,0.1122215863694223,0.019768098118637698,0.14059906869761868,0.0,0.08781310774487464,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
16,0.07645456139503722,0.27650417970626995,0.11247710478376474,0.019899588728695898,0.141065902076639,1.0,0.08781310774487464,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
17,0.08552465032708959,0.29244597847652065,0.11411025187137946,0.020219014102800876,0.1421935796820689,2.0,0.08781310774487464,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
18,0.08685533494447735,0.29471229181097514,0.11510112199645499,0.020613374002250266,0.14357358392911374,3.0,0.08781310774487464,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
19,0.08520875018028833,0.2919053788135606,0.1152737535321466,0.020749449726091683,0.14404669286759653,4.0,0.08781310774487464,3,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
20,0.09294630944378388,0.30487097179591216,0.11442914559778035,0.020558613143343472,0.14338275050836302,0.0,0.0890171640522565,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
21,0.09060534804754232,0.30100722258368207,0.11057648910512394,0.019213659899444173,0.1386133467579662,1.0,0.0890171640522565,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
22,0.08244097231569887,0.28712535993133537,0.1136966461432161,0.020050893689049096,0.14160117827563828,2.0,0.0890171640522565,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
23,0.08698335962894181,0.29492941465534056,0.11479603957678164,0.02071880941108619,0.14394029807905148,3.0,0.0890171640522565,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
24,0.08831254537302727,0.2971742676831681,0.11542960068325767,0.0205685401892598,0.1434173636253986,4.0,0.0890171640522565,4,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
25,0.08939197091865916,0.298984900820525,0.1120916262809235,0.019724271051481806,0.14044312390246028,0.0,0.0886415576447855,5,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
26,0.07626017172130065,0.27615244290301083,0.11271098397652926,0.019949277612334403,0.14124191167048966,1.0,0.0886415576447855,5,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
27,0.10626443047838574,0.3259822548519869,0.11335064384482434,0.019834648679968953,0.14083553770255913,2.0,0.0886415576447855,5,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
28,0.07710808455814604,0.27768342506917126,0.11232168474167799,0.01978433145762517,0.14065678603474902,3.0,0.0886415576447855,5,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
29,0.08705693533591963,0.29505412272313636,0.1186895775221749,0.021848091415840622,0.14781099896773792,4.0,0.0886415576447855,5,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
30,0.08801090403454374,0.29666631766101076,0.11316352581172447,0.020014819986245387,0.14147374309830565,0.0,0.08931501373471282,6,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
31,0.09629017421019126,0.3103065809972313,0.11198410668446482,0.01979203602565472,0.14068417119795218,1.0,0.08931501373471282,6,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
32,0.10959441795516607,0.33105047644606417,0.11180111224388152,0.01942391055314061,0.1393696902240247,2.0,0.08931501373471282,6,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
33,0.07683496119153503,0.27719119970073913,0.11723784575635976,0.021606164622268387,0.14699035554167622,3.0,0.08931501373471282,6,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
34,0.0710276980754206,0.26651022133385543,0.11398718650258419,0.020209731336548943,0.14216093463588703,4.0,0.08931501373471282,6,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
35,0.10984527160919921,0.3314291351242362,0.11322790207997972,0.020185428423461306,0.1420754321600371,0.0,0.09246927375819303,7,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
36,0.07883089183875813,0.2807683953702021,0.11132858685090549,0.019359364739759015,0.13913793422269505,1.0,0.09246927375819303,7,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
37,0.08539994025037212,0.29223268169452254,0.11310851311992705,0.019944485068525596,0.1412249449230751,2.0,0.09246927375819303,7,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
38,0.085515923859387,0.2924310583015884,0.1160352678875776,0.02122859528311618,0.14570036130056843,3.0,0.09246927375819303,7,no_music_list_manual_annot,egemaps_all_audio_duration_1_random,All
