,r2,r,MAE,MSE,RMSE,fold,r2_fold,seed,feature,filter,audio_type,trait,model
0,0.05137675767058214,0.22666441641903595,0.12294568699281308,0.023948713764665248,0.1547537197118869,0.0,0.060587517691703896,0,sr,no_music_list_manual_annot,full,neuroticism,random_forest
1,0.058236926622130425,0.24132328238719616,0.11538800555332618,0.021334509541374017,0.14606337508552245,1.0,0.060587517691703896,0,sr,no_music_list_manual_annot,full,neuroticism,random_forest
2,0.06107187467790509,0.24712724390059687,0.11761712436638673,0.02189347024492693,0.14796442222685469,2.0,0.060587517691703896,0,sr,no_music_list_manual_annot,full,neuroticism,random_forest
3,0.027631332726959723,0.166226750936664,0.11877230579244101,0.02239870387244645,0.149661965350073,3.0,0.060587517691703896,0,sr,no_music_list_manual_annot,full,neuroticism,random_forest
4,0.09874049121257089,0.3142299973149777,0.11903717900605729,0.022536790022251146,0.15012258331860381,4.0,0.060587517691703896,0,sr,no_music_list_manual_annot,full,neuroticism,random_forest
5,0.09917705361239826,0.31492388542693656,0.12069462555886737,0.022741959012835843,0.1508043733213193,0.0,0.08579730605263669,0,frequency,no_music_list_manual_annot,full,neuroticism,random_forest
6,0.06644821354305752,0.25777550997536114,0.11625472993827161,0.021148492713879245,0.1454252134737276,1.0,0.08579730605263669,0,frequency,no_music_list_manual_annot,full,neuroticism,random_forest
7,0.07576784445901552,0.2752595946720396,0.11845782039141413,0.02155079675539576,0.14680189629359616,2.0,0.08579730605263669,0,frequency,no_music_list_manual_annot,full,neuroticism,random_forest
8,0.0792198152373621,0.2814601485776665,0.1157161165291323,0.02121035301142995,0.145637745833386,3.0,0.08579730605263669,0,frequency,no_music_list_manual_annot,full,neuroticism,random_forest
9,0.10189217261310324,0.31920553349386543,0.11889147794179494,0.02245797944522168,0.14985986602563636,4.0,0.08579730605263669,0,frequency,no_music_list_manual_annot,full,neuroticism,random_forest
10,0.15798878294101137,0.39747802824937556,0.1162399093392946,0.021257212267397338,0.1457985331455613,0.0,0.15203653393775984,0,energy,no_music_list_manual_annot,full,neuroticism,random_forest
11,0.15640740032504874,0.39548375481813247,0.10991450617283952,0.019110575552983542,0.13824100532397593,1.0,0.15203653393775984,0,energy,no_music_list_manual_annot,full,neuroticism,random_forest
12,0.12641615774182402,0.3555504995662698,0.11368110795454546,0.020369803972340596,0.14272282218461277,2.0,0.15203653393775984,0,energy,no_music_list_manual_annot,full,neuroticism,random_forest
13,0.17976327144811843,0.4239849896495375,0.11023341772943236,0.018894314683814188,0.1374565919983985,3.0,0.15203653393775984,0,energy,no_music_list_manual_annot,full,neuroticism,random_forest
14,0.13668582174222443,0.36971045663089436,0.1151927201614938,0.02158793351850976,0.1469283278286041,4.0,0.15203653393775984,0,energy,no_music_list_manual_annot,full,neuroticism,random_forest
15,0.20528073729054075,0.45307917331360614,0.11329980129160458,0.02006329098490024,0.14164494690916524,0.0,0.1397673315535357,0,spectral,no_music_list_manual_annot,full,neuroticism,random_forest
16,0.12625680946594053,0.35532634220662634,0.1115783950617284,0.019793600919495884,0.14068973281478603,1.0,0.1397673315535357,0,spectral,no_music_list_manual_annot,full,neuroticism,random_forest
17,0.11099702637073083,0.3331621622734653,0.11509935290404041,0.020729339792784622,0.14397687242326326,2.0,0.1397673315535357,0,spectral,no_music_list_manual_annot,full,neuroticism,random_forest
18,0.11752712958572065,0.34282230030399224,0.11387987621905477,0.02032793647630658,0.1425760725939194,3.0,0.1397673315535357,0,spectral,no_music_list_manual_annot,full,neuroticism,random_forest
19,0.12921778272145212,0.35946875068836254,0.11755164963411557,0.021774678430100832,0.14756245603167775,4.0,0.1397673315535357,0,spectral,no_music_list_manual_annot,full,neuroticism,random_forest
20,0.13365994275841586,0.3655953264996913,0.11869988952020204,0.021871412303576653,0.1478898654525612,0.0,0.09795681256056654,0,spectral_voiced,no_music_list_manual_annot,full,neuroticism,random_forest
21,0.1081690188294947,0.3288905879308417,0.11285462062757204,0.020203358057808308,0.14213851715072978,1.0,0.09795681256056654,0,spectral_voiced,no_music_list_manual_annot,full,neuroticism,random_forest
22,0.056876378430264496,0.23848769031181566,0.11861439262415825,0.02199129878982105,0.14829463506756085,2.0,0.09795681256056654,0,spectral_voiced,no_music_list_manual_annot,full,neuroticism,random_forest
23,0.10092567948228659,0.31768802225184156,0.1151675418854714,0.020710354151037762,0.14391092436308567,3.0,0.09795681256056654,0,spectral_voiced,no_music_list_manual_annot,full,neuroticism,random_forest
24,0.08389314438332873,0.28964313280885623,0.11954999106316763,0.02290806104310102,0.15135409159682806,4.0,0.09795681256056654,0,spectral_voiced,no_music_list_manual_annot,full,neuroticism,random_forest
25,0.10926244835725896,0.33054870799514396,0.12092290735221065,0.02248734556761261,0.14995781262612698,0.0,0.025781571645979273,0,unvoiced,no_music_list_manual_annot,full,neuroticism,random_forest
26,0.013319163341189655,0.11540867966140872,0.11756929012345681,0.02235206743505659,0.14950607825455323,1.0,0.025781571645979273,0,unvoiced,no_music_list_manual_annot,full,neuroticism,random_forest
27,-0.003270640324212426,,0.1221511205808081,0.023393777776133738,0.1529502460806577,2.0,0.025781571645979273,0,unvoiced,no_music_list_manual_annot,full,neuroticism,random_forest
